#	Pokémon		Item	Moves				Nature	EVs
									HP	Attack	Defense	Sp. Atk	Sp. Def	Speed
57		Primeape	Persim Berry	{MoveID:62s,MovePP:25b}	{MoveID:187s,MovePP:10b}	{MoveID:90s,MovePP:10b}	{MoveID:254s,MovePP:20b}	Jolly	-	252	-	-	-	252
651		Quilladin	Leftovers	{MoveID:470s,MovePP:15b}	{MoveID:4s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:127s,MovePP:10b}	Adamant	-	252	252	-	-	-
657		Frogadier	Power Herb	{MoveID:127s,MovePP:10b}	{MoveID:610s,MovePP:20b}	{MoveID:159s,MovePP:15b}	{MoveID:393s,MovePP:5b}	Adamant	-	252	-	-	-	252
654		Braixen	Light Clay	{MoveID:51s,MovePP:15b}	{MoveID:129s,MovePP:10b}	{MoveID:22s,MovePP:25b}	{MoveID:20s,MovePP:30b}	Timid	-	-	-	252	-	252
400		Bibarel	Chesto Berry	{MoveID:227s,MovePP:15b}	{MoveID:104s,MovePP:15b}	{MoveID:122s,MovePP:15b}	{MoveID:105s,MovePP:10b}	Timid	-	-	-	252	-	252
444		Gabite	Yache Berry	{MoveID:55s,MovePP:15b}	{MoveID:50s,MovePP:20b}	{MoveID:58s,MovePP:10b}	{MoveID:277s,MovePP:15b}	Adamant	-	252	-	-	-	252
42		Golbat	Bright Powder	{MoveID:252s,MovePP:15b}	{MoveID:303s,MovePP:25b}	{MoveID:75s,MovePP:15b}	{MoveID:21s,MovePP:10b}	Impish	-	-	252	-	-	252
417		Pachirisu	Bright Powder	{MoveID:497s,MovePP:10b}	{MoveID:188s,MovePP:15b}	{MoveID:26s,MovePP:15b}	{MoveID:37s,MovePP:15b}	Hardy	-	170	-	170	-	170
707		Klefki	Apicot Berry	{MoveID:221s,MovePP:10b}	{MoveID:344s,MovePP:10b}	{MoveID:571s,MovePP:10b}	{MoveID:376s,MovePP:40b}	Modest	-	-	-	252	252	-
40		Wigglytuff	Shell Bell	{MoveID:569s,MovePP:15b}	{MoveID:505s,MovePP:15b}	{MoveID:442s,MovePP:5b}	{MoveID:122s,MovePP:15b}	Modest	252	-	-	252	-	-
262		Mightyena	Salac Berry	{MoveID:554s,MovePP:15b}	{MoveID:227s,MovePP:15b}	{MoveID:23s,MovePP:20b}	{MoveID:206s,MovePP:15b}	Modest	-	-	-	252	-	252
211		Qwilfish	Focus Band	{MoveID:105s,MovePP:10b}	{MoveID:427s,MovePP:20b}	{MoveID:17s,MovePP:10b}	{MoveID:411s,MovePP:10b}	Modest	-	-	-	252	-	252
455		Carnivine	Big Root	{MoveID:535s,MovePP:10b}	{MoveID:27s,MovePP:10b}	{MoveID:326s,MovePP:20b}	{MoveID:341s,MovePP:20b}	Calm	-	-	252	-	252	-
319		Sharpedo	Focus Band	{MoveID:105s,MovePP:10b}	{MoveID:217s,MovePP:15b}	{MoveID:269s,MovePP:15b}	{MoveID:471s,MovePP:20b}	Modest	-	-	-	252	-	252
219		Magcargo	Bright Powder	{MoveID:26s,MovePP:15b}	{MoveID:286s,MovePP:5b}	{MoveID:58s,MovePP:10b}	{MoveID:511s,MovePP:15b}	Hasty	-	252	-	-	-	252
457		Lumineon	Expert Belt	{MoveID:216s,MovePP:5b}	{MoveID:104s,MovePP:15b}	{MoveID:105s,MovePP:10b}	{MoveID:375s,MovePP:5b}	Timid	-	-	-	252	-	252
670		Floette	Petaya Berry	{MoveID:505s,MovePP:15b}	{MoveID:565s,MovePP:20b}	{MoveID:597s,MovePP:15b}	{MoveID:36s,MovePP:20b}	Quiet	-	-	-	252	252	-
82		Magneton	Shuca Berry	{MoveID:122s,MovePP:15b}	{MoveID:221s,MovePP:10b}	{MoveID:138s,MovePP:40b}	{MoveID:376s,MovePP:40b}	Calm	-	-	252	-	252	-
432		Purugly	Lax Incense	{MoveID:50s,MovePP:20b}	{MoveID:324s,MovePP:10b}	{MoveID:208s,MovePP:15b}	{MoveID:30s,MovePP:15b}	Adamant	-	252	-	-	-	252
224		Octillery	Cell Battery	{MoveID:287s,MovePP:20b}	{MoveID:387s,MovePP:30b}	{MoveID:283s,MovePP:10b}	{MoveID:159s,MovePP:15b}	Adamant	-	252	252	-	-	-
618		Stunfisk	Focus Band	{MoveID:122s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:233s,MovePP:15b}	{MoveID:297s,MovePP:10b}	Quiet	170	170	-	170	-	-
695		Heliolisk	King's Rock	{MoveID:524s,MovePP:20b}	{MoveID:254s,MovePP:20b}	{MoveID:133s,MovePP:30b}	{MoveID:187s,MovePP:10b}	Jolly	-	252	-	-	-	252
226		Mantine	Wacan Berry	{MoveID:209s,MovePP:15b}	{MoveID:217s,MovePP:15b}	{MoveID:486s,MovePP:10b}	{MoveID:429s,MovePP:20b}	Timid	-	-	-	252	-	252
317		Swalot	Sitrus Berry	{MoveID:326s,MovePP:20b}	{MoveID:227s,MovePP:15b}	{MoveID:346s,MovePP:10b}	{MoveID:562s,MovePP:10b}	Calm	252	-	-	-	252	-
545		Scolipede	Scope Lens	{MoveID:435s,MovePP:15b}	{MoveID:433s,MovePP:20b}	{MoveID:187s,MovePP:10b}	{MoveID:35s,MovePP:20b}	Adamant	-	252	-	-	-	252
112		Rhydon	Quick Claw	{MoveID:286s,MovePP:5b}	{MoveID:309s,MovePP:10b}	{MoveID:528s,MovePP:10b}	{MoveID:58s,MovePP:10b}	Adamant	-	252	252	-	-	-
586		Sawsbuck	Lum Berry	{MoveID:531s,MovePP:10b}	{MoveID:12s,MovePP:15b}	{MoveID:263s,MovePP:15b}	{MoveID:81s,MovePP:10b}	Adamant	-	252	-	-	-	252
547		Whimsicott	Coba Berry	{MoveID:24s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:567s,MovePP:10b}	{MoveID:19s,MovePP:5b}	Naive	-	-	-	252	-	252
691		Dragalge	Bright Powder	{MoveID:159s,MovePP:15b}	{MoveID:28s,MovePP:20b}	{MoveID:26s,MovePP:15b}	{MoveID:395s,MovePP:25b}	Adamant	-	252	-	-	-	252
631		Heatmor	Lax Incense	{MoveID:49s,MovePP:15b}	{MoveID:326s,MovePP:20b}	{MoveID:328s,MovePP:10b}	{MoveID:327s,MovePP:10b}	Modest	252	-	-	252	-	-
326		Grumpig	Leftovers	{MoveID:29s,MovePP:10b}	{MoveID:304s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:227s,MovePP:15b}	Modest	-	-	170	170	170	-
221		Piloswine	Persim Berry	{MoveID:106s,MovePP:5b}	{MoveID:90s,MovePP:10b}	{MoveID:58s,MovePP:10b}	{MoveID:220s,MovePP:10b}	Bashful	-	252	-	252	-	-
288		Vigoroth	Salac Berry	{MoveID:208s,MovePP:15b}	{MoveID:114s,MovePP:20b}	{MoveID:297s,MovePP:10b}	{MoveID:25s,MovePP:20b}	Jolly	-	-	252	-	-	252
332		Cacturne	Razor Claw	{MoveID:267s,MovePP:10b}	{MoveID:341s,MovePP:20b}	{MoveID:246s,MovePP:20b}	{MoveID:268s,MovePP:10b}	Brave	252	252	-	-	-	-
203		Girafarig	Ganlon Berry	{MoveID:224s,MovePP:20b}	{MoveID:255s,MovePP:40b}	{MoveID:129s,MovePP:10b}	{MoveID:227s,MovePP:15b}	Timid	-	-	-	252	-	252
53		Persian	Rocky Helmet	{MoveID:225s,MovePP:5b}	{MoveID:50s,MovePP:20b}	{MoveID:254s,MovePP:20b}	{MoveID:268s,MovePP:10b}	Adamant	252	252	-	-	-	-
533		Gurdurr	White Herb	{MoveID:342s,MovePP:5b}	{MoveID:286s,MovePP:5b}	{MoveID:506s,MovePP:20b}	{MoveID:392s,MovePP:20b}	Adamant	252	252	-	-	-	-
705		Sliggoo	Wise Glasses	{MoveID:437s,MovePP:10b}	{MoveID:105s,MovePP:10b}	{MoveID:122s,MovePP:15b}	{MoveID:386s,MovePP:10b}	Modest	-	-	-	252	252	-
57		Primeape	Scope Lens	{MoveID:316s,MovePP:5b}	{MoveID:286s,MovePP:5b}	{MoveID:518s,MovePP:5b}	{MoveID:58s,MovePP:10b}	Jolly	-	252	-	-	-	252
651		Quilladin	Expert Belt	{MoveID:394s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:27s,MovePP:10b}	{MoveID:505s,MovePP:15b}	Modest	-	-	252	252	-	-
657		Frogadier	King's Rock	{MoveID:103s,MovePP:5b}	{MoveID:105s,MovePP:10b}	{MoveID:269s,MovePP:15b}	{MoveID:505s,MovePP:15b}	Timid	-	-	-	252	-	252
654		Braixen	Wide Lens	{MoveID:158s,MovePP:5b}	{MoveID:129s,MovePP:10b}	{MoveID:223s,MovePP:10b}	{MoveID:505s,MovePP:15b}	Modest	-	-	-	252	252	-
400		Bibarel	Quick Claw	{MoveID:159s,MovePP:15b}	{MoveID:192s,MovePP:10b}	{MoveID:342s,MovePP:5b}	{MoveID:232s,MovePP:10b}	Adamant	-	252	-	-	-	252
444		Gabite	Haban Berry	{MoveID:438s,MovePP:10b}	{MoveID:267s,MovePP:10b}	{MoveID:286s,MovePP:5b}	{MoveID:58s,MovePP:10b}	Adamant	-	252	-	-	-	252
42		Golbat	Razor Fang	{MoveID:276s,MovePP:10b}	{MoveID:209s,MovePP:15b}	{MoveID:142s,MovePP:10b}	{MoveID:227s,MovePP:15b}	Naive	-	-	-	252	-	252
417		Pachirisu	Sitrus Berry	{MoveID:524s,MovePP:20b}	{MoveID:254s,MovePP:20b}	{MoveID:192s,MovePP:10b}	{MoveID:20s,MovePP:30b}	Jolly	-	252	-	-	-	252
707		Klefki	Occa Berry	{MoveID:221s,MovePP:10b}	{MoveID:567s,MovePP:10b}	{MoveID:129s,MovePP:10b}	{MoveID:566s,MovePP:10b}	Calm	-	-	-	252	252	-
40		Wigglytuff	Babiri Berry	{MoveID:608s,MovePP:10b}	{MoveID:201s,MovePP:15b}	{MoveID:88s,MovePP:15b}	{MoveID:36s,MovePP:20b}	Adamant	252	252	-	-	-	-
262		Mightyena	Razor Claw	{MoveID:260s,MovePP:15b}	{MoveID:259s,MovePP:5b}	{MoveID:23s,MovePP:20b}	{MoveID:225s,MovePP:5b}	Adamant	-	252	-	-	-	252
211		Qwilfish	Cell Battery	{MoveID:214s,MovePP:10b}	{MoveID:433s,MovePP:20b}	{MoveID:93s,MovePP:20b}	{MoveID:326s,MovePP:20b}	Adamant	-	252	-	-	-	252
455		Carnivine	Binding Band	{MoveID:589s,MovePP:20b}	{MoveID:35s,MovePP:20b}	{MoveID:260s,MovePP:15b}	{MoveID:460s,MovePP:10b}	Adamant	252	252	-	-	-	-
319		Sharpedo	Muscle Band	{MoveID:434s,MovePP:15b}	{MoveID:159s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:450s,MovePP:15b}	Jolly	-	252	-	-	-	252
219		Magcargo	White Herb	{MoveID:205s,MovePP:5b}	{MoveID:266s,MovePP:10b}	{MoveID:218s,MovePP:5b}	{MoveID:88s,MovePP:15b}	Quiet	-	252	-	252	-	-
457		Lumineon	Shell Bell	{MoveID:159s,MovePP:15b}	{MoveID:30s,MovePP:15b}	{MoveID:393s,MovePP:5b}	{MoveID:429s,MovePP:20b}	Jolly	-	252	-	-	-	252
670		Floette	Kebia Berry	{MoveID:583s,MovePP:10b}	{MoveID:596s,MovePP:10b}	{MoveID:567s,MovePP:10b}	{MoveID:605s,MovePP:15b}	Adamant	-	-	-	252	252	-
82		Magneton	Quick Claw	{MoveID:430s,MovePP:10b}	{MoveID:221s,MovePP:10b}	{MoveID:124s,MovePP:10b}	{MoveID:376s,MovePP:40b}	Modest	-	-	252	252	-	-
432		Purugly	Big Root	{MoveID:130s,MovePP:20b}	{MoveID:170s,MovePP:15b}	{MoveID:227s,MovePP:15b}	{MoveID:505s,MovePP:15b}	Modest	-	-	-	252	-	252
224		Octillery	Razor Claw	{MoveID:51s,MovePP:15b}	{MoveID:105s,MovePP:10b}	{MoveID:221s,MovePP:10b}	{MoveID:381s,MovePP:15b}	Modest	-	-	-	252	252	-
618		Stunfisk	Wide Lens	{MoveID:122s,MovePP:15b}	{MoveID:386s,MovePP:10b}	{MoveID:217s,MovePP:15b}	{MoveID:126s,MovePP:5b}	Modest	252	-	-	252	-	-
695		Heliolisk	Wide Lens	{MoveID:505s,MovePP:15b}	{MoveID:442s,MovePP:5b}	{MoveID:269s,MovePP:15b}	{MoveID:124s,MovePP:10b}	Modest	-	-	-	252	-	252
226		Mantine	Cell Battery	{MoveID:216s,MovePP:5b}	{MoveID:103s,MovePP:5b}	{MoveID:105s,MovePP:10b}	{MoveID:58s,MovePP:10b}	Mild	-	252	-	252	-	-
317		Swalot	Black Sludge	{MoveID:326s,MovePP:20b}	{MoveID:16s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:58s,MovePP:10b}	Calm	-	-	252	-	252	-
545		Scolipede	King's Rock	{MoveID:536s,MovePP:20b}	{MoveID:395s,MovePP:25b}	{MoveID:58s,MovePP:10b}	{MoveID:187s,MovePP:10b}	Jolly	-	252	-	-	-	252
112		Rhydon	Rocky Helmet	{MoveID:87s,MovePP:5b}	{MoveID:222s,MovePP:10b}	{MoveID:268s,MovePP:10b}	{MoveID:409s,MovePP:10b}	Impish	-	-	252	-	252	-
586		Sawsbuck	Shell Bell	{MoveID:531s,MovePP:10b}	{MoveID:12s,MovePP:15b}	{MoveID:309s,MovePP:10b}	{MoveID:4s,MovePP:10b}	Adamant	-	252	-	-	-	252
547		Whimsicott	Sitrus Berry	{MoveID:33s,MovePP:10b}	{MoveID:597s,MovePP:15b}	{MoveID:4s,MovePP:10b}	{MoveID:412s,MovePP:15b}	Modest	-	-	-	252	-	252
691		Dragalge	Payapa Berry	{MoveID:437s,MovePP:10b}	{MoveID:493s,MovePP:10b}	{MoveID:104s,MovePP:15b}	{MoveID:122s,MovePP:15b}	Modest	-	-	-	252	-	252
631		Heatmor	Shuca Berry	{MoveID:53s,MovePP:5b}	{MoveID:434s,MovePP:15b}	{MoveID:442s,MovePP:5b}	{MoveID:203s,MovePP:20b}	Hardy	-	252	-	252	-	-
326		Grumpig	Wise Glasses	{MoveID:129s,MovePP:10b}	{MoveID:227s,MovePP:15b}	{MoveID:439s,MovePP:20b}	{MoveID:33s,MovePP:10b}	Modest	-	-	-	252	-	252
221		Piloswine	Zoom Lens	{MoveID:220s,MovePP:10b}	{MoveID:286s,MovePP:5b}	{MoveID:106s,MovePP:5b}	{MoveID:126s,MovePP:5b}	Relaxed	252	-	252	-	-	-
288		Vigoroth	Bright Powder	{MoveID:105s,MovePP:10b}	{MoveID:122s,MovePP:15b}	{MoveID:51s,MovePP:15b}	{MoveID:227s,MovePP:15b}	Modest	-	-	-	252	-	252
332		Cacturne	Scope Lens	{MoveID:269s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:259s,MovePP:5b}	{MoveID:442s,MovePP:5b}	Quiet	-	252	-	252	-	-
203		Girafarig	Colbur Berry	{MoveID:129s,MovePP:10b}	{MoveID:122s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:567s,MovePP:10b}	Modest	-	-	-	252	-	252
53		Persian	Life Orb	{MoveID:505s,MovePP:15b}	{MoveID:324s,MovePP:10b}	{MoveID:439s,MovePP:20b}	{MoveID:269s,MovePP:15b}	Timid	-	-	-	252	-	252




Super Track

689		Barbaracle	Bright Powder	{MoveID:286s,MovePP:5b}	{MoveID:533s,MovePP:10b}	{MoveID:511s,MovePP:15b}	{MoveID:26s,MovePP:15b}	Adamant	-	252	-	-	-	252
701		Hawlucha	Salac Berry	{MoveID:251s,MovePP:15b}	{MoveID:168s,MovePP:10b}	{MoveID:360s,MovePP:15b}	{MoveID:225s,MovePP:5b}	Jolly	-	252	-	-	-	252
703		Carbink	Light Clay	{MoveID:147s,MovePP:20b}	{MoveID:20s,MovePP:30b}	{MoveID:22s,MovePP:25b}	{MoveID:567s,MovePP:10b}	Calm	-	-	252	-	252	-
668		Pyroar	King's Rock	{MoveID:51s,MovePP:15b}	{MoveID:366s,MovePP:10b}	{MoveID:554s,MovePP:15b}	{MoveID:599s,MovePP:30b}	Timid	-	-	-	252	-	252
713		Avalugg	Leftovers	{MoveID:447s,MovePP:10b}	{MoveID:565s,MovePP:20b}	{MoveID:21s,MovePP:10b}	{MoveID:16s,MovePP:10b}	Relaxed	252	-	252	-	-	-
697		Tyrantrum	Lax Incense	{MoveID:285s,MovePP:20b}	{MoveID:222s,MovePP:10b}	{MoveID:26s,MovePP:15b}	{MoveID:58s,MovePP:10b}	Relaxed	-	-	252	-	252	-
699		Aurorus	Sitrus Berry	{MoveID:38s,MovePP:10b}	{MoveID:123s,MovePP:20b}	{MoveID:505s,MovePP:15b}	{MoveID:122s,MovePP:15b}	Calm	252	-	-	-	252	-
663		Talonflame	Charti Berry	{MoveID:505s,MovePP:15b}	{MoveID:422s,MovePP:20b}	{MoveID:207s,MovePP:15b}	{MoveID:51s,MovePP:15b}	Timid	-	-	-	252	-	252
700		Sylveon	Leftovers	{MoveID:596s,MovePP:10b}	{MoveID:1s,MovePP:30b}	{MoveID:336s,MovePP:20b}	{MoveID:567s,MovePP:10b}	Calm	252	-	-	-	252	-
652		Chesnaught	Leftovers	{MoveID:225s,MovePP:5b}	{MoveID:613s,MovePP:10b}	{MoveID:278s,MovePP:10b}	{MoveID:470s,MovePP:15b}	Adamant	-	252	252	-	-	-
655		Delphox	Petaya Berry	{MoveID:565s,MovePP:20b}	{MoveID:129s,MovePP:10b}	{MoveID:51s,MovePP:15b}	{MoveID:505s,MovePP:15b}	Timid	-	-	-	252	-	252
658		Greninja	Leftovers	{MoveID:595s,MovePP:10b}	{MoveID:246s,MovePP:20b}	{MoveID:217s,MovePP:15b}	{MoveID:16s,MovePP:10b}	Calm	-	-	252	-	252	-
673		Gogoat	Yache Berry	{MoveID:38s,MovePP:10b}	{MoveID:531s,MovePP:10b}	{MoveID:392s,MovePP:20b}	{MoveID:268s,MovePP:10b}	Impish	-	-	252	-	252	-
715		Noivern	Yache Berry	{MoveID:192s,MovePP:10b}	{MoveID:563s,MovePP:10b}	{MoveID:505s,MovePP:15b}	{MoveID:228s,MovePP:15b}	Timid	-	-	-	252	-	252
671		Florges	Babiri Berry	{MoveID:578s,MovePP:10b}	{MoveID:567s,MovePP:10b}	{MoveID:33s,MovePP:10b}	{MoveID:339s,MovePP:10b}	Sassy	-	-	252	-	252	-
706		Goodra	Lax Incense	{MoveID:38s,MovePP:10b}	{MoveID:386s,MovePP:10b}	{MoveID:437s,MovePP:10b}	{MoveID:493s,MovePP:10b}	Modest	-	-	-	252	252	-
709		Trevenant	Wise Glasses	{MoveID:129s,MovePP:10b}	{MoveID:227s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:505s,MovePP:15b}	Modest	-	-	-	252	252	-
711		Gourgeist	Sitrus Berry	{MoveID:207s,MovePP:15b}	{MoveID:619s,MovePP:20b}	{MoveID:307s,MovePP:20b}	{MoveID:606s,MovePP:10b}	Impish	252	-	252	-	-	-
693		Clawitzer	Bright Powder	{MoveID:512s,MovePP:10b}	{MoveID:386s,MovePP:10b}	{MoveID:26s,MovePP:15b}	{MoveID:565s,MovePP:20b}	Calm	-	-	252	-	252	-
685		Slurpuff	Big Root	{MoveID:571s,MovePP:10b}	{MoveID:537s,MovePP:10b}	{MoveID:607s,MovePP:20b}	{MoveID:565s,MovePP:20b}	Modest	252	-	-	252	-	-
683		Aromatisse	Lax Incense	{MoveID:298s,MovePP:20b}	{MoveID:242s,MovePP:10b}	{MoveID:30s,MovePP:15b}	{MoveID:571s,MovePP:10b}	Calm	252	-	-	-	252	-
689		Barbaracle	Wise Glasses	{MoveID:320s,MovePP:5b}	{MoveID:106s,MovePP:5b}	{MoveID:104s,MovePP:15b}	{MoveID:442s,MovePP:5b}	Modest	-	-	252	252	-	-
701		Hawlucha	Leftovers	{MoveID:16s,MovePP:10b}	{MoveID:393s,MovePP:5b}	{MoveID:127s,MovePP:10b}	{MoveID:21s,MovePP:10b}	Careful	-	-	252	-	252	-
703		Carbink	Smooth Rock	{MoveID:16s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:267s,MovePP:10b}	{MoveID:439s,MovePP:20b}	Bold	-	-	252	-	252	-
668		Pyroar	Heat Rock	{MoveID:19s,MovePP:5b}	{MoveID:366s,MovePP:10b}	{MoveID:158s,MovePP:5b}	{MoveID:24s,MovePP:10b}	Timid	-	-	-	252	-	252
713		Avalugg	Apicot Berry	{MoveID:29s,MovePP:10b}	{MoveID:232s,MovePP:10b}	{MoveID:525s,MovePP:10b}	{MoveID:162s,MovePP:10b}	Careful	-	-	252	-	252	-
697		Tyrantrum	Leftovers	{MoveID:260s,MovePP:15b}	{MoveID:298s,MovePP:20b}	{MoveID:267s,MovePP:10b}	{MoveID:55s,MovePP:15b}	Impish	-	-	252	-	252	-
699		Aurorus	Leftovers	{MoveID:320s,MovePP:5b}	{MoveID:220s,MovePP:10b}	{MoveID:267s,MovePP:10b}	{MoveID:581s,MovePP:20b}	Calm	252	-	-	-	252	-
663		Talonflame	Heat Rock	{MoveID:505s,MovePP:15b}	{MoveID:158s,MovePP:5b}	{MoveID:19s,MovePP:5b}	{MoveID:24s,MovePP:10b}	Timid	-	-	-	252	-	252
700		Sylveon	Ganlon Berry	{MoveID:255s,MovePP:40b}	{MoveID:224s,MovePP:20b}	{MoveID:230s,MovePP:10b}	{MoveID:597s,MovePP:15b}	Calm	-	-	252	-	252	-
652		Chesnaught	Expert Belt	{MoveID:55s,MovePP:15b}	{MoveID:15s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:201s,MovePP:15b}	Adamant	-	252	252	-	-	-
655		Delphox	Flame Orb	{MoveID:338s,MovePP:10b}	{MoveID:444s,MovePP:10b}	{MoveID:598s,MovePP:10b}	{MoveID:227s,MovePP:15b}	Modest	-	-	-	252	-	252
658		Greninja	Damp Rock	{MoveID:216s,MovePP:5b}	{MoveID:104s,MovePP:15b}	{MoveID:505s,MovePP:15b}	{MoveID:105s,MovePP:10b}	Timid	-	-	-	252	-	252
673		Gogoat	Occa Berry	{MoveID:104s,MovePP:15b}	{MoveID:33s,MovePP:10b}	{MoveID:187s,MovePP:10b}	{MoveID:36s,MovePP:20b}	Quiet	-	252	-	252	-	-
715		Noivern	Roseli Berry	{MoveID:55s,MovePP:15b}	{MoveID:263s,MovePP:15b}	{MoveID:435s,MovePP:15b}	{MoveID:251s,MovePP:15b}	Adamant	-	252	-	-	-	252
671		Florges	Kebia Berry	{MoveID:596s,MovePP:10b}	{MoveID:583s,MovePP:10b}	{MoveID:334s,MovePP:20b}	{MoveID:505s,MovePP:15b}	Quiet	-	-	-	252	252	-
706		Goodra	Lum Berry	{MoveID:214s,MovePP:10b}	{MoveID:88s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:296s,MovePP:10b}	Careful	-	252	-	-	252	-
709		Trevenant	Leftovers	{MoveID:16s,MovePP:10b}	{MoveID:341s,MovePP:20b}	{MoveID:21s,MovePP:10b}	{MoveID:606s,MovePP:10b}	Careful	-	-	252	-	252	-
711		Gourgeist	Iron Ball	{MoveID:455s,MovePP:5b}	{MoveID:218s,MovePP:5b}	{MoveID:15s,MovePP:15b}	{MoveID:184s,MovePP:5b}	Impish	170	-	170	-	170	-
693		Clawitzer	Petaya Berry	{MoveID:221s,MovePP:10b}	{MoveID:217s,MovePP:15b}	{MoveID:493s,MovePP:10b}	{MoveID:505s,MovePP:15b}	Modest	-	-	-	252	252	-
685		Slurpuff	Petaya Berry	{MoveID:373s,MovePP:20b}	{MoveID:51s,MovePP:15b}	{MoveID:567s,MovePP:10b}	{MoveID:505s,MovePP:15b}	Quiet	-	-	-	252	252	-
683		Aromatisse	Assault Vest	{MoveID:505s,MovePP:15b}	{MoveID:129s,MovePP:10b}	{MoveID:33s,MovePP:10b}	{MoveID:567s,MovePP:10b}	Calm	-	-	-	252	252	-
689		Barbaracle	Expert Belt	{MoveID:55s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:435s,MovePP:15b}	{MoveID:434s,MovePP:15b}	Adamant	-	252	252	-	-	-
701		Hawlucha	Liechi Berry	{MoveID:35s,MovePP:20b}	{MoveID:579s,MovePP:10b}	{MoveID:251s,MovePP:15b}	{MoveID:303s,MovePP:25b}	Adamant	-	252	-	-	-	252
703		Carbink	Iron Ball	{MoveID:455s,MovePP:5b}	{MoveID:218s,MovePP:5b}	{MoveID:567s,MovePP:10b}	{MoveID:439s,MovePP:20b}	Quiet	-	-	-	252	252	-
668		Pyroar	Lum Berry	{MoveID:25s,MovePP:20b}	{MoveID:48s,MovePP:15b}	{MoveID:263s,MovePP:15b}	{MoveID:260s,MovePP:15b}	Adamant	-	252	-	-	-	252
713		Avalugg	Icy Rock	{MoveID:220s,MovePP:10b}	{MoveID:106s,MovePP:5b}	{MoveID:139s,MovePP:10b}	{MoveID:221s,MovePP:10b}	Bold	-	-	252	-	252	-
697		Tyrantrum	Wide Lens	{MoveID:87s,MovePP:5b}	{MoveID:286s,MovePP:5b}	{MoveID:29s,MovePP:10b}	{MoveID:304s,MovePP:10b}	Impish	252	-	252	-	-	-
699		Aurorus	Expert Belt	{MoveID:59s,MovePP:5b}	{MoveID:58s,MovePP:10b}	{MoveID:286s,MovePP:5b}	{MoveID:525s,MovePP:10b}	Adamant	-	252	-	-	252	-
663		Talonflame	Focus Sash	{MoveID:35s,MovePP:20b}	{MoveID:133s,MovePP:30b}	{MoveID:233s,MovePP:15b}	{MoveID:251s,MovePP:15b}	Jolly	-	-	252	-	-	252
700		Sylveon	Razor Claw	{MoveID:597s,MovePP:15b}	{MoveID:227s,MovePP:15b}	{MoveID:505s,MovePP:15b}	{MoveID:223s,MovePP:10b}	Modest	-	-	-	252	252	-
652		Chesnaught	Life Orb	{MoveID:442s,MovePP:5b}	{MoveID:33s,MovePP:10b}	{MoveID:27s,MovePP:10b}	{MoveID:505s,MovePP:15b}	Modest	-	-	252	252	-	-
655		Delphox	Heat Rock	{MoveID:19s,MovePP:5b}	{MoveID:24s,MovePP:10b}	{MoveID:158s,MovePP:5b}	{MoveID:129s,MovePP:10b}	Timid	-	-	-	252	-	252
658		Greninja	King's Rock	{MoveID:621s,MovePP:20b}	{MoveID:187s,MovePP:10b}	{MoveID:36s,MovePP:20b}	{MoveID:254s,MovePP:20b}	Jolly	-	252	-	-	-	252
673		Gogoat	Big Root	{MoveID:531s,MovePP:10b}	{MoveID:4s,MovePP:10b}	{MoveID:21s,MovePP:10b}	{MoveID:268s,MovePP:10b}	Sassy	252	252	-	-	-	-
715		Noivern	Razor Fang	{MoveID:209s,MovePP:15b}	{MoveID:437s,MovePP:10b}	{MoveID:51s,MovePP:15b}	{MoveID:129s,MovePP:10b}	Modest	-	-	-	252	-	252
671		Florges	Kebia Berry	{MoveID:224s,MovePP:20b}	{MoveID:36s,MovePP:20b}	{MoveID:129s,MovePP:10b}	{MoveID:597s,MovePP:15b}	Modest	-	-	-	252	252	-
706		Goodra	Damp Rock	{MoveID:437s,MovePP:10b}	{MoveID:216s,MovePP:5b}	{MoveID:124s,MovePP:10b}	{MoveID:386s,MovePP:10b}	Modest	-	-	-	252	252	-
709		Trevenant	Choice Band	{MoveID:531s,MovePP:10b}	{MoveID:208s,MovePP:15b}	{MoveID:58s,MovePP:10b}	{MoveID:435s,MovePP:15b}	Adamant	252	252	-	-	-	-
711		Gourgeist	Wise Glasses	{MoveID:227s,MovePP:15b}	{MoveID:27s,MovePP:10b}	{MoveID:33s,MovePP:10b}	{MoveID:51s,MovePP:15b}	Modest	-	-	252	252	-	-
